<HEADLINE>	
"	
Kilpailu	
tarvitsee	
neljä	
operaattoria	
"	
	
<DATE>	
9.10.2015 09:28	
	
<INGRESS>	
Britannia	loc
telealan	
regulaattori	
Ofcom	org
voi	
tyrmätä	
meneillään	
olevat	
operaattorijärjestelyt	
.	
	
<BODY>	
<PARAGRAPH>	
Teleregulaattori	
Ofcomin	org
toimitusjohtaja	tit
Sharon	per
White	per
ilmaisi	
keskiviikkona	
pitämässään	
puheessa	
huolestumisensa	
siitä	
,	
että	
BT:n	org
ehdottama	
EE:n	org
osto	
ja	
3UK	org
:	org
n	org
ja	
O2:n	org
fuusio	
voisivat	
vähentää	
kilpailua	
ja	
nostaa	
hintoja	
.	
	
London	org
School	org
of	org
Economicsissa	org
pidetty	
puhe	
julkaistiin	
Ofcomin	org
verk	
kopalvelussa	
,	
Total	pro
Telecom	pro
uutisoi	
.	
	
<PARAGRAPH>	
–	
Uskomme	
edelleen	
,	
että	
neljä	
operaattoria	
on	
kilpaileva	
lukumäärä	
ja	
että	
se	
tuottanut	
hyvän	
tuloksen	
kuluttajille	
ja	
kestävän	
tuloksen	
operaattoreille	
,	
White	per
sanoi	
.	
	
<PARAGRAPH>	
Whiten	per
kommentit	
seuraavat	
EU:n	org
kilpailukomissaarin	tit
Margrethe	per
Vestagerin	per
viitoittamaa	
linjaa	
,	
joka	
esti	
TeliaSoneran	org
ja	
Telenorin	org
Tanskan	loc
tytäryhtiöiden	
fuusion	
.	
	
Vestager	per
on	
nostanut	
esille	
myös	
Itävallan	loc
tilanteen	
,	
jossa	
alan	
vuoden	
2013	
konsolidaatio	
jätti	
maahan	
vain	
kolme	
operaattoria	
ja	
jonka	
jälkeen	
hinnat	
ovat	
nousseet	
28	
prosenttia	
.	
	
<PARAGRAPH>	
White	per
viittasi	
myös	
Vestagerin	org
kommenttiin	
,	
jonka	
mukaan	
operaattoreiden	
väheneminen	
ei	
ole	
johtanut	
tilaajaa	
kohti	
laskettujen	
investointien	
kasvuun	
.	
